City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Pedernales,DO,18.04,-71.74,78.8,94,75,17.22,broken clouds
175,Port Blair,IN,11.67,92.75,81.86,80,100,2.93,moderate rain
176,Ritchie,ZA,-29.04,24.6,66.2,52,47,5.46,scattered clouds
177,Camargo,MX,27.67,-105.17,91.72,19,0,15.08,clear sky
178,Carnarvon,AU,-24.87,113.63,62.6,100,0,10.29,clear sky
179,Constitucion,CL,-35.33,-72.42,54.73,67,89,7.14,overcast clouds
180,Tumbes,PE,-3.57,-80.44,77.0,73,75,10.76,broken clouds
181,Hualmay,PE,-11.1,-77.61,64.87,68,7,9.95,clear sky
182,Airai,TL,-8.93,125.41,57.78,48,0,3.65,clear sky
183,Takoradi,GH,4.88,-1.76,75.34,88,84,8.86,broken clouds
184,Samur,RU,41.83,48.49,69.69,71,0,2.93,clear sky
185,Port Alfred,ZA,-33.59,26.89,65.46,68,0,22.15,clear sky
186,Iqaluit,CA,63.75,-68.51,48.2,60,20,4.7,few clouds
187,Kursavka,RU,44.46,42.51,71.6,53,99,17.9,overcast clouds
188,Bay Roberts,CA,47.6,-53.26,69.01,85,12,13.0,few clouds
189,Bathsheba,BB,13.22,-59.52,86.0,74,40,13.87,scattered clouds
190,Kurkino,RU,53.43,38.66,61.03,50,100,9.08,overcast clouds
191,Pontianak,ID,-0.03,109.33,76.32,92,100,3.2,moderate rain
192,Chita,RU,52.03,113.55,48.2,93,100,2.24,overcast clouds
193,Kalanguy,RU,51.02,116.52,51.35,94,100,4.83,light rain
194,Karratha,AU,-20.74,116.85,68.58,35,51,2.42,broken clouds
195,Hithadhoo,MV,-0.6,73.08,82.06,77,59,15.03,broken clouds
196,Namibe,AO,-15.2,12.15,63.23,71,0,8.32,clear sky
197,Charters Towers,AU,-20.1,146.27,60.96,92,19,5.79,few clouds
198,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
199,Pilar,BR,-9.6,-35.96,77.0,65,39,13.87,light rain
200,San Rafael,AR,-34.62,-68.33,60.42,31,0,6.49,clear sky
201,Codrington,AU,-38.27,141.97,43.88,90,0,7.02,clear sky
202,Opuwo,NA,-18.06,13.84,67.75,54,72,5.61,broken clouds
203,Nome,US,64.5,-165.41,46.99,75,75,10.29,broken clouds
204,Ribeira Grande,PT,38.52,-28.7,73.4,73,40,21.92,scattered clouds
205,Bilibino,RU,68.05,166.44,34.9,83,31,2.33,scattered clouds
206,Hami,CN,42.8,93.45,70.66,39,0,12.15,clear sky
207,Manga,BF,11.66,-1.07,76.08,87,100,3.27,moderate rain
208,Korla,CN,41.76,86.15,72.0,44,0,5.99,clear sky
209,Amot,NO,59.57,7.99,52.0,88,39,1.01,scattered clouds
210,Zambezi,ZM,-13.54,23.1,67.62,36,0,5.97,clear sky
211,Sabya,SA,17.15,42.63,87.8,84,0,3.11,clear sky
212,Almeirim,BR,-1.52,-52.58,88.39,44,34,0.65,scattered clouds
213,Auburndale,US,28.07,-81.79,96.8,41,1,5.82,clear sky
214,Urumqi,CN,43.8,87.6,69.8,40,0,8.95,clear sky
215,Touros,BR,-5.2,-35.46,77.0,78,75,12.75,broken clouds
216,Pontiac,US,42.64,-83.29,75.2,33,40,16.11,scattered clouds
217,Bambous Virieux,MU,-20.34,57.76,69.8,73,75,12.75,broken clouds
218,Predivinsk,RU,57.07,93.44,46.74,94,97,3.44,overcast clouds
219,Bilma,NE,18.69,12.92,94.84,28,0,6.46,clear sky
220,Leningradskiy,RU,69.38,178.42,35.13,90,99,6.35,overcast clouds
221,Severnyy-Kospashskiy,RU,59.09,57.8,44.01,97,97,2.39,overcast clouds
222,Nabire,ID,-3.37,135.48,74.61,86,100,2.8,light rain
223,Labuhan,ID,-6.88,112.21,77.23,83,4,10.07,clear sky
224,Kuito,AO,-12.38,16.93,66.09,35,37,1.83,scattered clouds
225,Bamnet Narong,TH,15.5,101.69,78.66,82,57,1.32,broken clouds
226,Launceston,AU,-41.45,147.17,45.0,93,75,5.82,broken clouds
227,Asau,RO,46.43,26.4,54.0,94,0,4.74,clear sky
228,Oktyabrskoye,RU,43.06,44.74,60.8,87,0,6.71,clear sky
229,Portland,US,45.52,-122.68,84.99,42,75,8.05,smoke
230,Riohacha,CO,11.54,-72.91,83.52,78,44,9.55,heavy intensity rain
231,Lusambo,CD,-4.97,23.45,75.58,43,1,1.19,clear sky
