City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
107,Sur,OM,79.86,clear sky,22.57,59.53,Sur Plaza Hotel
109,Kualakapuas,ID,75.2,mist,-3.01,114.39,Guest House Izonk
110,Santa Marta,CO,90.0,light rain,11.24,-74.2,Hotel La Ballena Azul
111,Nabinagar,BD,86.0,haze,23.89,90.97,ওমান হাউজ
114,Chuhar Kana,PK,77.0,smoke,31.75,73.8,King House
116,Trairi,BR,79.02,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
117,Vaitape,PF,78.57,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
120,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
122,Cockburn Town,TC,82.4,scattered clouds,21.46,-71.14,Osprey Beach Hotel
127,Mineral Wells,US,86.0,broken clouds,32.81,-98.11,The Baker Hotel and Spa
128,Lodja,CD,76.01,scattered clouds,-3.48,23.43,
129,South Hill,US,86.0,clear sky,47.14,-122.27,Best Western Premier Plaza Hotel & Conference Center
136,Dong Hoi,VN,79.99,overcast clouds,17.48,106.6,Nam Long Hotel
141,Erzin,TR,84.99,clear sky,36.96,36.2,Artemis Otel
142,San Jose,US,82.0,clear sky,37.34,-121.89,The Westin San Jose
143,Bonthe,SL,77.63,overcast clouds,7.53,-12.51,Bonthe Holiday Village
154,Phra Phutthabat,TH,84.0,moderate rain,14.73,100.8,Pruksa Siri View
156,Shelbyville,US,77.0,scattered clouds,35.48,-86.46,Best Western Shelbyville Inn and Suites Celebration Inn
160,Maine-Soroa,NE,83.16,clear sky,13.21,12.02,
161,Tabanan,ID,78.8,scattered clouds,-8.54,115.13,Puri Taman Sari Resort
163,Makakilo City,US,84.2,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
164,Katsuura,JP,82.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
167,Port Hawkesbury,CA,77.0,broken clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
172,Mayo,US,87.8,broken clouds,38.89,-76.51,Resorts Resource Group International
173,Marsh Harbour,BS,85.46,clear sky,26.54,-77.06,Abaco Beach Resort
174,Pedernales,DO,78.8,broken clouds,18.04,-71.74,Hotel Costa Marina
175,Port Blair,IN,81.86,moderate rain,11.67,92.75,Fortune Resort Bay Island
180,Tumbes,PE,77.0,broken clouds,-3.57,-80.44,Wyndham Costa del Sol Tumbes
183,Takoradi,GH,75.34,broken clouds,4.88,-1.76,Raybow International Hotel
189,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
191,Pontianak,ID,76.32,moderate rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
195,Hithadhoo,MV,82.06,broken clouds,-0.6,73.08,Scoop Guest House
198,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
199,Pilar,BR,77.0,light rain,-9.6,-35.96,Pousada e churrascaria Manguaba
207,Manga,BF,76.08,moderate rain,11.66,-1.07,Auberge Somkieta
211,Sabya,SA,87.8,clear sky,17.15,42.63,Aseel Hotel Apartment
212,Almeirim,BR,88.39,scattered clouds,-1.52,-52.58,Ricácio Hotel
215,Touros,BR,77.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
216,Pontiac,US,75.2,scattered clouds,42.64,-83.29,Embassy Suites by Hilton Auburn Hills
223,Labuhan,ID,77.23,clear sky,-6.88,112.21,bador sepret
225,Bamnet Narong,TH,78.66,broken clouds,15.5,101.69,Jong Jaroen Resort
229,Portland,US,84.99,smoke,45.52,-122.68,Portland Marriott City Center
230,Riohacha,CO,83.52,heavy intensity rain,11.54,-72.91,Hotel Taroa
